Water Depth [ft],Factor
0,0
0.0328,0.0046
0.0656,0.0092
0.0984,0.0138
0.1312,0.0184
0.164,0.023
0.1969,0.0276
0.2297,0.0322
0.2625,0.0368
0.2953,0.0414
0.3281,0.046
0.3609,0.0506
0.3937,0.0552
0.4265,0.0598
0.4593,0.0644
0.4921,0.069
0.5249,0.0736
0.5577,0.0782
0.5906,0.0828
0.6234,0.0874
0.6562,0.092
0.689,0.0966
0.7218,0.1012
0.7546,0.1058
0.7874,0.1104
0.8202,0.115
0.853,0.1196
0.8858,0.1242
0.9186,0.1288
0.9514,0.1334
0.9843,0.138
1.0171,0.1426
1.0499,0.1472
1.0827,0.1518
1.1155,0.1564
1.1483,0.161
1.1811,0.1656
1.2139,0.1702
1.2467,0.1748
1.2795,0.1794
1.3123,0.1839
1.3451,0.1885
1.378,0.1931
1.4108,0.1977
1.4436,0.2023
1.4764,0.2069
1.5092,0.2115
1.542,0.2161
1.5748,0.2207
1.6076,0.2253
1.6404,0.2299
1.6732,0.2331
1.706,0.2363
1.7388,0.2395
1.7717,0.2427
1.8045,0.2459
1.8373,0.2491
1.8701,0.2523
1.9029,0.2555
1.9357,0.2587
1.9685,0.2619
2.0013,0.2651
2.0341,0.2683
2.0669,0.2715
2.0997,0.2747
2.1325,0.2779
2.1654,0.2811
2.1982,0.2843
2.231,0.2875
2.2638,0.2907
2.2966,0.2939
2.3294,0.2971
2.3622,0.3003
2.395,0.3035
2.4278,0.3067
2.4606,0.3099
2.4934,0.3131
2.5262,0.3163
2.5591,0.3195
2.5919,0.3227
2.6247,0.3259
2.6575,0.3291
2.6903,0.3323
2.7231,0.3355
2.7559,0.3387
2.7887,0.3419
2.8215,0.3451
2.8543,0.3483
2.8871,0.3515
2.9199,0.3547
2.9528,0.3579
2.9856,0.3611
3.0184,0.3643
3.0512,0.3675
3.084,0.3707
3.1168,0.3739
3.1496,0.3771
3.1824,0.3803
3.2152,0.3835
3.248,0.3867
3.2808,0.3899
3.3136,0.3929
3.3465,0.3959
3.3793,0.3988
3.4121,0.4018
3.4449,0.4048
3.4777,0.4077
3.5105,0.4107
3.5433,0.4136
3.5761,0.4166
3.6089,0.4196
3.6417,0.4225
3.6745,0.4255
3.7073,0.4285
3.7402,0.4314
3.773,0.4344
3.8058,0.4373
3.8386,0.4403
3.8714,0.4433
3.9042,0.4462
3.937,0.4492
3.9698,0.4522
4.0026,0.4551
4.0354,0.4581
4.0682,0.461
4.101,0.464
4.1339,0.467
4.1667,0.4699
4.1995,0.4729
4.2323,0.4759
4.2651,0.4788
4.2979,0.4818
4.3307,0.4847
4.3635,0.4877
4.3963,0.4907
4.4291,0.4936
4.4619,0.4966
4.4948,0.4996
4.5276,0.5025
4.5604,0.5055
4.5932,0.5084
4.626,0.5114
4.6588,0.5144
4.6916,0.5173
4.7244,0.5203
4.7572,0.5233
4.79,0.5262
4.8228,0.5292
4.8556,0.5321
4.8885,0.5351
4.9213,0.5381
4.9541,0.5403
4.9869,0.5424
5.0197,0.5446
5.0525,0.5468
5.0853,0.549
5.1181,0.5512
5.1509,0.5534
5.1837,0.5556
5.2165,0.5578
5.2493,0.5599
5.2822,0.5621
5.315,0.5643
5.3478,0.5665
5.3806,0.5687
5.4134,0.5709
5.4462,0.5731
5.479,0.5753
5.5118,0.5775
5.5446,0.5796
5.5774,0.5818
5.6102,0.584
5.643,0.5862
5.6759,0.5884
5.7087,0.5906
5.7415,0.5928
5.7743,0.595
5.8071,0.5971
5.8399,0.5993
5.8727,0.6015
5.9055,0.6037
5.9383,0.6059
5.9711,0.6081
6.0039,0.6103
6.0367,0.6125
6.0696,0.6146
6.1024,0.6168
6.1352,0.619
6.168,0.6212
6.2008,0.6234
6.2336,0.6256
6.2664,0.6278
6.2992,0.63
6.332,0.6321
6.3648,0.6343
6.3976,0.6365
6.4304,0.6387
6.4633,0.6409
6.4961,0.6431
6.5289,0.6453
6.5617,0.6475
6.5945,0.6492
6.6273,0.651
6.6601,0.6527
6.6929,0.6545
6.7257,0.6563
6.7585,0.658
6.7913,0.6598
6.8241,0.6616
6.857,0.6633
6.8898,0.6651
6.9226,0.6668
6.9554,0.6686
6.9882,0.6704
7.021,0.6721
7.0538,0.6739
7.0866,0.6757
7.1194,0.6774
7.1522,0.6792
7.185,0.6809
7.2178,0.6827
7.2507,0.6845
7.2835,0.6862
7.3163,0.688
7.3491,0.6898
7.3819,0.6915
7.4147,0.6933
7.4475,0.695
7.4803,0.6968
7.5131,0.6986
7.5459,0.7003
7.5787,0.7021
7.6115,0.7039
7.6444,0.7056
7.6772,0.7074
7.71,0.7091
7.7428,0.7109
7.7756,0.7127
7.8084,0.7144
7.8412,0.7162
7.874,0.718
7.9068,0.7197
7.9396,0.7215
7.9724,0.7233
8.0052,0.725
8.0381,0.7268
8.0709,0.7285
8.1037,0.7303
8.1365,0.7321
8.1693,0.7338
8.2021,0.7356
8.2349,0.7374
8.2677,0.7391
8.3005,0.7409
8.3333,0.7426
8.3661,0.7444
8.399,0.7462
8.4318,0.7479
8.4646,0.7497
8.4974,0.7515
8.5302,0.7532
8.563,0.755
8.5958,0.7567
8.6286,0.7585
8.6614,0.7603
8.6942,0.762
8.727,0.7638
8.7598,0.7656
8.7927,0.7673
8.8255,0.7691
8.8583,0.7708
8.8911,0.7726
8.9239,0.7744
8.9567,0.7761
8.9895,0.7779
9.0223,0.7797
9.0551,0.7814
9.0879,0.7832
9.1207,0.7849
9.1535,0.7867
9.1864,0.7885
9.2192,0.7902
9.252,0.792
9.2848,0.7938
9.3176,0.7955
9.3504,0.7973
9.3832,0.799
9.416,0.8008
9.4488,0.8026
9.4816,0.8043
9.5144,0.8061
9.5472,0.8079
9.5801,0.8096
9.6129,0.8114
9.6457,0.8132
9.6785,0.8149
9.7113,0.8167
9.7441,0.8184
9.7769,0.8202
9.8097,0.822
9.8425,0.8237
9.8753,0.8245
9.9081,0.8253
9.9409,0.8261
9.9738,0.8269
10.0066,0.8277
10.0394,0.8285
10.0722,0.8292
10.105,0.83
10.1378,0.8308
10.1706,0.8316
10.2034,0.8324
10.2362,0.8332
10.269,0.834
10.3018,0.8348
10.3346,0.8355
10.3675,0.8363
10.4003,0.8371
10.4331,0.8379
10.4659,0.8387
10.4987,0.8395
10.5315,0.8403
10.5643,0.8411
10.5971,0.8418
10.6299,0.8426
10.6627,0.8434
10.6955,0.8442
10.7283,0.845
10.7612,0.8458
10.794,0.8466
10.8268,0.8474
10.8596,0.8481
10.8924,0.8489
10.9252,0.8497
10.958,0.8505
10.9908,0.8513
11.0236,0.8521
11.0564,0.8529
11.0892,0.8537
11.122,0.8544
11.1549,0.8552
11.1877,0.856
11.2205,0.8568
11.2533,0.8576
11.2861,0.8584
11.3189,0.8592
11.3517,0.86
11.3845,0.8607
11.4173,0.8615
11.4501,0.8623
11.4829,0.8631
11.5157,0.8639
11.5486,0.8647
11.5814,0.8655
11.6142,0.8663
11.647,0.867
11.6798,0.8678
11.7126,0.8686
11.7454,0.8694
11.7782,0.8702
11.811,0.871
11.8438,0.8718
11.8766,0.8726
11.9094,0.8733
11.9423,0.8741
11.9751,0.8749
12.0079,0.8757
12.0407,0.8765
12.0735,0.8773
12.1063,0.8781
12.1391,0.8789
12.1719,0.8796
12.2047,0.8804
12.2375,0.8812
12.2703,0.882
12.3031,0.8828
12.336,0.8836
12.3688,0.8844
12.4016,0.8852
12.4344,0.8859
12.4672,0.8867
12.5,0.8875
12.5328,0.8883
12.5656,0.8891
12.5984,0.8899
12.6312,0.8907
12.664,0.8915
12.6969,0.8922
12.7297,0.893
12.7625,0.8938
12.7953,0.8946
12.8281,0.8954
12.8609,0.8962
12.8937,0.897
12.9265,0.8978
12.9593,0.8985
12.9921,0.8993
13.0249,0.9001
13.0577,0.9009
13.0906,0.9017
13.1234,0.9025
13.1562,0.9031
13.189,0.9037
13.2218,0.9042
13.2546,0.9048
13.2874,0.9054
13.3202,0.906
13.353,0.9066
13.3858,0.9072
13.4186,0.9078
13.4514,0.9084
13.4843,0.9089
13.5171,0.9095
13.5499,0.9101
13.5827,0.9107
13.6155,0.9113
13.6483,0.9119
13.6811,0.9125
13.7139,0.9131
13.7467,0.9136
13.7795,0.9142
13.8123,0.9148
13.8451,0.9154
13.878,0.916
13.9108,0.9166
13.9436,0.9172
13.9764,0.9178
14.0092,0.9183
14.042,0.9189
14.0748,0.9195
14.1076,0.9201
14.1404,0.9207
14.1732,0.9213
14.206,0.9219
14.2388,0.9225
14.2717,0.923
14.3045,0.9236
14.3373,0.9242
14.3701,0.9248
14.4029,0.9254
14.4357,0.926
14.4685,0.9266
14.5013,0.9272
14.5341,0.9278
14.5669,0.9283
14.5997,0.9289
14.6325,0.9295
14.6654,0.9301
14.6982,0.9307
14.731,0.9313
14.7638,0.9319
14.7966,0.9325
14.8294,0.933
14.8622,0.9336
14.895,0.9342
14.9278,0.9348
14.9606,0.9354
14.9934,0.936
15.0262,0.9366
15.0591,0.9372
15.0919,0.9377
15.1247,0.9383
15.1575,0.9389
15.1903,0.9395
15.2231,0.9401
