Water Depth [inch],Factor
0.0,0.0
0.3937,0.0046
0.7874,0.0093
1.1811,0.0139
1.5748,0.0186
1.9685,0.0232
2.3622,0.0279
2.7559,0.0325
3.1496,0.0372
3.5433,0.0418
3.937,0.0464
4.3307,0.0511
4.7244,0.0557
5.1181,0.0604
5.5118,0.065
5.9055,0.0697
6.2992,0.0743
6.6929,0.079
7.0866,0.0836
7.4803,0.0882
7.874,0.0929
8.2677,0.0975
8.6614,0.1022
9.0551,0.1068
9.4488,0.1115
9.8425,0.1161
10.2362,0.1208
10.6299,0.1254
11.0236,0.13
11.4173,0.1347
11.811,0.1393
12.2047,0.144
12.5984,0.1486
12.9921,0.1533
13.3858,0.1579
13.7795,0.1626
14.1732,0.1672
14.5669,0.1718
14.9606,0.1765
15.3543,0.1811
15.748,0.1858
16.1417,0.1904
16.5354,0.1951
16.9291,0.1997
17.3228,0.2044
17.7165,0.209
18.1102,0.2136
18.5039,0.2183
18.8976,0.2229
19.2913,0.2276
19.685,0.2322
20.0787,0.2355
20.4724,0.2388
20.8661,0.2421
21.2598,0.2454
21.6535,0.2486
22.0472,0.2519
22.4409,0.2552
22.8346,0.2585
23.2283,0.2618
23.622,0.2651
24.0157,0.2683
24.4094,0.2716
24.8031,0.2749
25.1969,0.2782
25.5906,0.2815
25.9843,0.2847
26.378,0.288
26.7717,0.2913
27.1654,0.2946
27.5591,0.2979
27.9528,0.3012
28.3465,0.3044
28.7402,0.3077
29.1339,0.311
29.5276,0.3143
29.9213,0.3176
30.315,0.3209
30.7087,0.3241
31.1024,0.3274
31.4961,0.3307
31.8898,0.334
32.2835,0.3373
32.6772,0.3406
33.0709,0.3438
33.4646,0.3471
33.8583,0.3504
34.252,0.3537
34.6457,0.357
35.0394,0.3603
35.4331,0.3635
35.8268,0.3668
36.2205,0.3701
36.6142,0.3734
37.0079,0.3767
37.4016,0.38
37.7953,0.3832
38.189,0.3865
38.5827,0.3898
38.9764,0.3931
39.3701,0.3964
39.7638,0.4
40.1575,0.4036
40.5512,0.4072
40.9449,0.4108
41.3386,0.4144
41.7323,0.418
42.126,0.4217
42.5197,0.4253
42.9134,0.4289
43.3071,0.4325
43.7008,0.4361
44.0945,0.4397
44.4882,0.4433
44.8819,0.4469
45.2756,0.4506
45.6693,0.4542
46.063,0.4578
46.4567,0.4614
46.8504,0.465
47.2441,0.4686
47.6378,0.4722
48.0315,0.4758
48.4252,0.4794
48.8189,0.4831
49.2126,0.4867
49.6063,0.4903
50,0.4939
50.3937,0.4975
50.7874,0.5011
51.1811,0.5047
51.5748,0.5083
51.9685,0.512
52.3622,0.5156
52.7559,0.5192
53.1496,0.5228
53.5433,0.5264
53.937,0.53
54.3307,0.5336
54.7244,0.5372
55.1181,0.5408
55.5118,0.5445
55.9055,0.5481
56.2992,0.5517
56.6929,0.5553
57.0866,0.5589
57.4803,0.5625
57.874,0.5661
58.2677,0.5697
58.6614,0.5734
59.0551,0.577
59.4488,0.579
59.8425,0.5811
60.2362,0.5831
60.6299,0.5852
61.0236,0.5873
61.4173,0.5893
61.811,0.5914
62.2047,0.5934
62.5984,0.5955
62.9921,0.5975
63.3858,0.5996
63.7795,0.6017
64.1732,0.6037
64.5669,0.6058
64.9606,0.6078
65.3543,0.6099
65.748,0.6119
66.1417,0.614
66.5354,0.6161
66.9291,0.6181
67.3228,0.6202
67.7165,0.6222
68.1102,0.6243
68.5039,0.6263
68.8976,0.6284
69.2913,0.6305
69.685,0.6325
70.0787,0.6346
70.4724,0.6366
70.8661,0.6387
71.2598,0.6407
71.6535,0.6428
72.0472,0.6449
72.4409,0.6469
72.8346,0.649
73.2283,0.651
73.622,0.6531
74.0157,0.6551
74.4094,0.6572
74.8031,0.6593
75.1969,0.6613
75.5906,0.6634
75.9843,0.6654
76.378,0.6675
76.7717,0.6695
77.1654,0.6716
77.5591,0.6737
77.9528,0.6757
78.3465,0.6778
78.7402,0.6798
79.1339,0.6811
79.5276,0.6823
79.9213,0.6836
80.315,0.6848
80.7087,0.686
81.1024,0.6873
81.4961,0.6885
81.8898,0.6898
82.2835,0.691
82.6772,0.6923
83.0709,0.6935
83.4646,0.6948
83.8583,0.696
84.252,0.6972
84.6457,0.6985
85.0394,0.6997
85.4331,0.701
85.8268,0.7022
86.2205,0.7035
86.6142,0.7047
87.0079,0.7059
87.4016,0.7072
87.7953,0.7084
88.189,0.7097
88.5827,0.7109
88.9764,0.7122
89.3701,0.7134
89.7638,0.7147
90.1575,0.7159
90.5512,0.7171
90.9449,0.7184
91.3386,0.7196
91.7323,0.7209
92.126,0.7221
92.5197,0.7234
92.9134,0.7246
93.3071,0.7258
93.7008,0.7271
94.0945,0.7283
94.4882,0.7296
94.8819,0.7308
95.2756,0.7321
95.6693,0.7333
96.063,0.7346
96.4567,0.7358
96.8504,0.737
97.2441,0.7383
97.6378,0.7395
98.0315,0.7408
98.4252,0.742
98.8189,0.7433
99.2126,0.7445
99.6063,0.7457
100,0.747
100.3937,0.7482
100.7874,0.7495
101.1811,0.7507
101.5748,0.752
101.9685,0.7532
102.3622,0.7545
102.7559,0.7557
103.1496,0.7569
103.5433,0.7582
103.937,0.7594
104.3307,0.7607
104.7244,0.7619
105.1181,0.7632
105.5118,0.7644
105.9055,0.7656
106.2992,0.7669
106.6929,0.7681
107.0866,0.7694
107.4803,0.7706
107.874,0.7719
108.2677,0.7731
108.6614,0.7744
109.0551,0.7756
109.4488,0.7768
109.8425,0.7781
110.2362,0.7793
110.6299,0.7806
111.0236,0.7818
111.4173,0.7831
111.811,0.7843
112.2047,0.7855
112.5984,0.7868
112.9921,0.788
113.3858,0.7893
113.7795,0.7905
114.1732,0.7918
114.5669,0.793
114.9606,0.7943
115.3543,0.7955
115.748,0.7967
116.1417,0.798
116.5354,0.7992
116.9291,0.8005
117.3228,0.8017
117.7165,0.803
118.1102,0.8042
118.5039,0.8051
